,TEXT,X1,Y1,X2,Y2,block_no,line_no,page_no
345,MOD,395,343,414,354,46,2,1
346,INS,416,343,429,354,46,2,1
347,ENCLOSURE,431,343,481,354,46,2,1
348,116.59,618,343,643,354,46,3,1
349,Each,661,343,679,354,46,4,1
350,30.00,695,343,715,354,46,5,1
351,163.23,745,343,770,354,46,6,1
352,4,782,343,786,354,46,7,1
353,-,788,343,791,354,46,7,1
354,5,793,343,798,354,46,7,1
355,Days,800,343,818,354,46,7,1
356,2,30,355,34,366,47,0,1
357,13436,53,355,75,366,47,1,1
358,Schneider,271,355,307,366,47,2,1
359,KAEDRA,309,355,342,366,47,2,1
360,ENCLOSURE,344,355,394,366,47,2,1
361,3X18,396,355,415,366,47,2,1
362,MOD,417,355,436,366,47,2,1
363,178.93,618,355,643,366,47,3,1
364,Each,661,355,679,366,47,4,1
365,30.00,695,355,715,366,47,5,1
366,250.50,745,355,770,366,47,6,1
367,4,782,355,786,366,47,7,1
368,-,788,355,791,366,47,7,1
369,5,793,355,798,366,47,7,1
370,Days,800,355,818,366,47,7,1
371,4,30,370,34,381,48,0,1
372,VCCF0,53,370,79,381,48,1,1
373,SCHNEIDER,271,370,318,381,48,2,1
374,DISCONNECT,320,370,373,381,48,2,1
375,SWITCH,375,370,407,381,48,2,1
376,25A,409,370,423,381,48,2,1
377,3P,426,370,435,381,48,2,1
378,KIT,438,370,450,381,48,2,1
379,WITH,452,370,473,381,48,2,1
380,HANDLE,475,370,507,381,48,2,1
381,34.27,623,370,643,381,48,3,1
382,Each,661,370,679,381,48,4,1
383,40.00,695,370,715,381,48,5,1
384,82.25,750,370,770,381,48,6,1
385,Ex,784,370,794,381,48,7,1
386,Stock,796,370,816,381,48,7,1
387,AND,271,383,288,394,49,0,1
388,SHAFT,290,383,316,394,49,0,1
389,DOOR,319,383,343,394,49,0,1
390,INTERLOCK,345,383,391,394,49,0,1
391,PLATE,393,383,418,394,49,0,1
392,AN,420,383,431,394,49,0,1
393,D,434,383,439,394,49,0,1
394,INCOMING,442,383,483,394,49,0,1
395,SHROUD,271,395,306,406,50,0,1
